word,pos,zipf,URL
over,adjective,6.06,https://dictionary.cambridge.org/dictionary/learner-english/over_3
over,"adverb, preposition",6.06,https://dictionary.cambridge.org/dictionary/learner-english/over_2
think,noun,6.06,https://dictionary.cambridge.org/dictionary/learner-english/think_2
think,verb,6.06,https://dictionary.cambridge.org/dictionary/learner-english/think_1
go,noun,6.05,https://dictionary.cambridge.org/dictionary/learner-english/go_2
go,verb,6.05,https://dictionary.cambridge.org/dictionary/learner-english/go_1
make,noun,6.05,https://dictionary.cambridge.org/dictionary/learner-english/make_2
make,verb,6.05,https://dictionary.cambridge.org/dictionary/learner-english/make_1
any,adverb,6.04,https://dictionary.cambridge.org/dictionary/learner-english/any_2
out-and-out,adjective,6.04,https://dictionary.cambridge.org/dictionary/learner-english/out-and-out
well,adjective,6.04,https://dictionary.cambridge.org/dictionary/learner-english/well_1
well,adverb,6.04,https://dictionary.cambridge.org/dictionary/learner-english/well_2
well,noun,6.04,https://dictionary.cambridge.org/dictionary/learner-english/well_4
back,adjective,6.03,https://dictionary.cambridge.org/dictionary/learner-english/back_4
back,adverb,6.03,https://dictionary.cambridge.org/dictionary/learner-english/back_1
back,noun,6.03,https://dictionary.cambridge.org/dictionary/learner-english/back_2
back,verb,6.03,https://dictionary.cambridge.org/dictionary/learner-english/back_3
want,noun,6.03,https://dictionary.cambridge.org/dictionary/learner-english/want_2
want,verb,6.03,https://dictionary.cambridge.org/dictionary/learner-english/want_1
has-been,noun,6.02,https://dictionary.cambridge.org/dictionary/learner-english/has-been
time-out,noun,6.02,https://dictionary.cambridge.org/dictionary/learner-english/time-out
because,conjunction,6.01,https://dictionary.cambridge.org/dictionary/learner-english/because
May,noun,6.01,https://dictionary.cambridge.org/dictionary/learner-english/may_2
where,adverb,6.01,https://dictionary.cambridge.org/dictionary/learner-english/where_1
where,conjunction,6.01,https://dictionary.cambridge.org/dictionary/learner-english/where_2
most,adverb,6.0,https://dictionary.cambridge.org/dictionary/learner-english/most_1
much,adverb,6.0,https://dictionary.cambridge.org/dictionary/learner-english/much_2
because of,preposition,5.99,https://dictionary.cambridge.org/dictionary/learner-english/because-of
way,adverb,5.99,https://dictionary.cambridge.org/dictionary/learner-english/way_2
way,noun,5.99,https://dictionary.cambridge.org/dictionary/learner-english/way_1
even,adjective,5.98,https://dictionary.cambridge.org/dictionary/learner-english/even_1
even,adverb,5.98,https://dictionary.cambridge.org/dictionary/learner-english/even_2
very,adjective,5.98,https://dictionary.cambridge.org/dictionary/learner-english/very_2
very,adverb,5.98,https://dictionary.cambridge.org/dictionary/learner-english/very_1
need,noun,5.96,https://dictionary.cambridge.org/dictionary/learner-english/need_2
need,verb,5.96,https://dictionary.cambridge.org/dictionary/learner-english/need_1
right,adjective,5.96,https://dictionary.cambridge.org/dictionary/learner-english/right_1
right,adverb,5.96,https://dictionary.cambridge.org/dictionary/learner-english/right_2
right,noun,5.96,https://dictionary.cambridge.org/dictionary/learner-english/right_3
right,verb,5.96,https://dictionary.cambridge.org/dictionary/learner-english/right_4
too,adverb,5.96,https://dictionary.cambridge.org/dictionary/learner-english/too
work,noun,5.95,https://dictionary.cambridge.org/dictionary/learner-english/work_2
work,verb,5.95,https://dictionary.cambridge.org/dictionary/learner-english/work_1
being,noun,5.94,https://dictionary.cambridge.org/dictionary/learner-english/being_1
here,adverb,5.94,https://dictionary.cambridge.org/dictionary/learner-english/here
before,adverb,5.93,https://dictionary.cambridge.org/dictionary/learner-english/before_3
before,conjunction,5.93,https://dictionary.cambridge.org/dictionary/learner-english/before_2
before,preposition,5.93,https://dictionary.cambridge.org/dictionary/learner-english/before_1
day,noun,5.93,https://dictionary.cambridge.org/dictionary/learner-english/day
really,adverb,5.93,https://dictionary.cambridge.org/dictionary/learner-english/really
world,adjective,5.92,https://dictionary.cambridge.org/dictionary/learner-english/world_2
world,noun,5.92,https://dictionary.cambridge.org/dictionary/learner-english/world_1
year,noun,5.92,https://dictionary.cambridge.org/dictionary/learner-english/year
going,adjective,5.91,https://dictionary.cambridge.org/dictionary/learner-english/going_2
going,noun,5.91,https://dictionary.cambridge.org/dictionary/learner-english/going_1
off,adjective,5.91,https://dictionary.cambridge.org/dictionary/learner-english/off_2
off,"adverb, preposition",5.91,https://dictionary.cambridge.org/dictionary/learner-english/off_1
still,adjective,5.91,https://dictionary.cambridge.org/dictionary/learner-english/still_2
still,adverb,5.91,https://dictionary.cambridge.org/dictionary/learner-english/still_1
still,noun,5.91,https://dictionary.cambridge.org/dictionary/learner-english/still_3
take,verb,5.91,https://dictionary.cambridge.org/dictionary/learner-english/take
why,adverb,5.91,https://dictionary.cambridge.org/dictionary/learner-english/why
never,adverb,5.9,https://dictionary.cambridge.org/dictionary/learner-english/never
life,noun,5.89,https://dictionary.cambridge.org/dictionary/learner-english/life
say,noun,5.89,https://dictionary.cambridge.org/dictionary/learner-english/say_2
say,verb,5.89,https://dictionary.cambridge.org/dictionary/learner-english/say_1
through,adjective,5.89,https://dictionary.cambridge.org/dictionary/learner-english/through_3
through,adverb,5.89,https://dictionary.cambridge.org/dictionary/learner-english/through_2
through,preposition,5.89,https://dictionary.cambridge.org/dictionary/learner-english/through_1
two-time,verb,5.89,https://dictionary.cambridge.org/dictionary/learner-english/two-time
any more,adverb,5.87,https://dictionary.cambridge.org/dictionary/learner-english/any-more
down,adjective,5.87,https://dictionary.cambridge.org/dictionary/learner-english/down_2
down,"adverb, preposition",5.87,https://dictionary.cambridge.org/dictionary/learner-english/down_1
down,noun,5.87,https://dictionary.cambridge.org/dictionary/learner-english/down_3
down,verb,5.87,https://dictionary.cambridge.org/dictionary/learner-english/down_4
one-way,adjective,5.87,https://dictionary.cambridge.org/dictionary/learner-english/one-way
well-to-do,adjective,5.86,https://dictionary.cambridge.org/dictionary/learner-english/well-to-do
all right,"adjective, adverb",5.85,https://dictionary.cambridge.org/dictionary/learner-english/all-right_1
great,adjective,5.85,https://dictionary.cambridge.org/dictionary/learner-english/great_1
know-how,noun,5.85,https://dictionary.cambridge.org/dictionary/learner-english/know-how
last,"adjective, determiner",5.84,https://dictionary.cambridge.org/dictionary/learner-english/last_1
last,adverb,5.84,https://dictionary.cambridge.org/dictionary/learner-english/last_2
last,verb,5.84,https://dictionary.cambridge.org/dictionary/learner-english/last_4
man,noun,5.84,https://dictionary.cambridge.org/dictionary/learner-english/man_1
man,verb,5.84,https://dictionary.cambridge.org/dictionary/learner-english/man_2
way out,noun,5.84,https://dictionary.cambridge.org/dictionary/learner-english/way-out
while,conjunction,5.84,https://dictionary.cambridge.org/dictionary/learner-english/while_1
while,noun,5.84,https://dictionary.cambridge.org/dictionary/learner-english/while_2
use,noun,5.83,https://dictionary.cambridge.org/dictionary/learner-english/use_2
use,verb,5.83,https://dictionary.cambridge.org/dictionary/learner-english/use_1
between,adverb,5.82,https://dictionary.cambridge.org/dictionary/learner-english/between_2
between,preposition,5.82,https://dictionary.cambridge.org/dictionary/learner-english/between_1
long,adjective,5.81,https://dictionary.cambridge.org/dictionary/learner-english/long_1
long,adverb,5.81,https://dictionary.cambridge.org/dictionary/learner-english/long_2
long,noun,5.81,https://dictionary.cambridge.org/dictionary/learner-english/long_3
long,verb,5.81,https://dictionary.cambridge.org/dictionary/learner-english/long_4
one-off,adjective,5.81,https://dictionary.cambridge.org/dictionary/learner-english/one-off
same,adverb,5.81,https://dictionary.cambridge.org/dictionary/learner-english/same_2
part,adverb,5.79,https://dictionary.cambridge.org/dictionary/learner-english/part_2
part,noun,5.79,https://dictionary.cambridge.org/dictionary/learner-english/part_1
part,verb,5.79,https://dictionary.cambridge.org/dictionary/learner-english/part_3
best,adjective,5.78,https://dictionary.cambridge.org/dictionary/learner-english/best_1
best,adverb,5.78,https://dictionary.cambridge.org/dictionary/learner-english/best_2
best,noun,5.78,https://dictionary.cambridge.org/dictionary/learner-english/best_3
come,verb,5.78,https://dictionary.cambridge.org/dictionary/learner-english/come
love,noun,5.78,https://dictionary.cambridge.org/dictionary/learner-english/love_2
love,verb,5.78,https://dictionary.cambridge.org/dictionary/learner-english/love_1
out-take,noun,5.78,https://dictionary.cambridge.org/dictionary/learner-english/out-take
under,adverb,5.78,https://dictionary.cambridge.org/dictionary/learner-english/under_3
under,preposition,5.78,https://dictionary.cambridge.org/dictionary/learner-english/under_2
look,noun,5.77,https://dictionary.cambridge.org/dictionary/learner-english/look_2
look,verb,5.77,https://dictionary.cambridge.org/dictionary/learner-english/look_1
since,"adverb, preposition",5.77,https://dictionary.cambridge.org/dictionary/learner-english/since_1
since,conjunction,5.77,https://dictionary.cambridge.org/dictionary/learner-english/since_2
every,determiner,5.76,https://dictionary.cambridge.org/dictionary/learner-english/every
look-in,noun,5.76,https://dictionary.cambridge.org/dictionary/learner-english/look-in
must,noun,5.76,https://dictionary.cambridge.org/dictionary/learner-english/must_2
always,adverb,5.75,https://dictionary.cambridge.org/dictionary/learner-english/always
better,adjective,5.75,https://dictionary.cambridge.org/dictionary/learner-english/better_1
better,adverb,5.75,https://dictionary.cambridge.org/dictionary/learner-english/better_2
better,noun,5.75,https://dictionary.cambridge.org/dictionary/learner-english/better_3
better,verb,5.75,https://dictionary.cambridge.org/dictionary/learner-english/better_4
little,adjective,5.75,https://dictionary.cambridge.org/dictionary/learner-english/little_1
little,adverb,5.75,https://dictionary.cambridge.org/dictionary/learner-english/little_4
new year,noun,5.75,https://dictionary.cambridge.org/dictionary/learner-english/new-year
old,adjective,5.75,https://dictionary.cambridge.org/dictionary/learner-english/old
one-man,adjective,5.75,https://dictionary.cambridge.org/dictionary/learner-english/one-man
two-way,adjective,5.75,https://dictionary.cambridge.org/dictionary/learner-english/two-way
down-and-out,adjective,5.74,https://dictionary.cambridge.org/dictionary/learner-english/down-and-out
during,preposition,5.74,https://dictionary.cambridge.org/dictionary/learner-english/during
find,noun,5.74,https://dictionary.cambridge.org/dictionary/learner-english/find_2
find,verb,5.74,https://dictionary.cambridge.org/dictionary/learner-english/find_1
high,adjective,5.74,https://dictionary.cambridge.org/dictionary/learner-english/high_1
high,adverb,5.74,https://dictionary.cambridge.org/dictionary/learner-english/high_2
high,noun,5.74,https://dictionary.cambridge.org/dictionary/learner-english/high_3
home,adjective,5.74,https://dictionary.cambridge.org/dictionary/learner-english/home_3
home,adverb,5.74,https://dictionary.cambridge.org/dictionary/learner-english/home_2
home,noun,5.74,https://dictionary.cambridge.org/dictionary/learner-english/home_1
place,noun,5.74,https://dictionary.cambridge.org/dictionary/learner-english/place_1
place,verb,5.74,https://dictionary.cambridge.org/dictionary/learner-english/place_2
around,"adverb, preposition",5.73,https://dictionary.cambridge.org/dictionary/learner-english/around
back-to-back,"adjective, adverb",5.72,https://dictionary.cambridge.org/dictionary/learner-english/back-to-back
own,verb,5.72,https://dictionary.cambridge.org/dictionary/learner-english/own_2
state,noun,5.72,https://dictionary.cambridge.org/dictionary/learner-english/state_1
state,verb,5.72,https://dictionary.cambridge.org/dictionary/learner-english/state_2
give,noun,5.71,https://dictionary.cambridge.org/dictionary/learner-english/give_2
give,verb,5.71,https://dictionary.cambridge.org/dictionary/learner-english/give_1
help,noun,5.71,https://dictionary.cambridge.org/dictionary/learner-english/help_2
help,verb,5.71,https://dictionary.cambridge.org/dictionary/learner-english/help_1
things,noun,5.71,https://dictionary.cambridge.org/dictionary/learner-english/things
again,adverb,5.7,https://dictionary.cambridge.org/dictionary/learner-english/again
against,preposition,5.7,https://dictionary.cambridge.org/dictionary/learner-english/against
found,verb,5.7,https://dictionary.cambridge.org/dictionary/learner-english/found_1
game,adjective,5.7,https://dictionary.cambridge.org/dictionary/learner-english/game_2
game,noun,5.7,https://dictionary.cambridge.org/dictionary/learner-english/game_1
school,noun,5.7,https://dictionary.cambridge.org/dictionary/learner-english/school
without,preposition,5.7,https://dictionary.cambridge.org/dictionary/learner-english/without
end,noun,5.69,https://dictionary.cambridge.org/dictionary/learner-english/end_1
end,verb,5.69,https://dictionary.cambridge.org/dictionary/learner-english/end_2
thing,noun,5.69,https://dictionary.cambridge.org/dictionary/learner-english/thing
well-being,noun,5.69,https://dictionary.cambridge.org/dictionary/learner-english/well-being
government,noun,5.68,https://dictionary.cambridge.org/dictionary/learner-english/government
house,noun,5.68,https://dictionary.cambridge.org/dictionary/learner-english/house_1
house,verb,5.68,https://dictionary.cambridge.org/dictionary/learner-english/house_2
next,adjective,5.68,https://dictionary.cambridge.org/dictionary/learner-english/next_1
next,adverb,5.68,https://dictionary.cambridge.org/dictionary/learner-english/next_2
next,preposition,5.68,https://dictionary.cambridge.org/dictionary/learner-english/next_3
please,verb,5.68,https://dictionary.cambridge.org/dictionary/learner-english/please_2
god,noun,5.67,https://dictionary.cambridge.org/dictionary/learner-english/god
in-house,"adjective, adverb",5.67,https://dictionary.cambridge.org/dictionary/learner-english/in-house
part-time,"adjective, adverb",5.67,https://dictionary.cambridge.org/dictionary/learner-english/part-time
well-off,adjective,5.67,https://dictionary.cambridge.org/dictionary/learner-english/well-off
ever,adverb,5.65,https://dictionary.cambridge.org/dictionary/learner-english/ever
family,noun,5.65,https://dictionary.cambridge.org/dictionary/learner-english/family
feel,noun,5.65,https://dictionary.cambridge.org/dictionary/learner-english/feel_2
feel,verb,5.65,https://dictionary.cambridge.org/dictionary/learner-english/feel_1
might,noun,5.65,https://dictionary.cambridge.org/dictionary/learner-english/might_2
put,verb,5.65,https://dictionary.cambridge.org/dictionary/learner-english/put
however,adverb,5.64,https://dictionary.cambridge.org/dictionary/learner-english/however_1
however,conjunction,5.64,https://dictionary.cambridge.org/dictionary/learner-english/however_2
name,noun,5.64,https://dictionary.cambridge.org/dictionary/learner-english/name_1
name,verb,5.64,https://dictionary.cambridge.org/dictionary/learner-english/name_2
number,noun,5.64,https://dictionary.cambridge.org/dictionary/learner-english/number_1
number,verb,5.64,https://dictionary.cambridge.org/dictionary/learner-english/number_2
second,noun,5.64,https://dictionary.cambridge.org/dictionary/learner-english/second_2
show,noun,5.64,https://dictionary.cambridge.org/dictionary/learner-english/show_2
show,verb,5.64,https://dictionary.cambridge.org/dictionary/learner-english/show_1
left,"adjective, adverb",5.63,https://dictionary.cambridge.org/dictionary/learner-english/left_1
left,noun,5.63,https://dictionary.cambridge.org/dictionary/learner-english/left_2
big,adjective,5.62,https://dictionary.cambridge.org/dictionary/learner-english/big
day-to-day,adjective,5.62,https://dictionary.cambridge.org/dictionary/learner-english/day-to-day
go-between,noun,5.62,https://dictionary.cambridge.org/dictionary/learner-english/go-between
keep,noun,5.62,https://dictionary.cambridge.org/dictionary/learner-english/keep_2
keep,verb,5.62,https://dictionary.cambridge.org/dictionary/learner-english/keep_1
night,noun,5.62,https://dictionary.cambridge.org/dictionary/learner-english/night
sure,adjective,5.62,https://dictionary.cambridge.org/dictionary/learner-english/sure
set,adjective,5.61,https://dictionary.cambridge.org/dictionary/learner-english/set_3
set,noun,5.61,https://dictionary.cambridge.org/dictionary/learner-english/set_2
set,verb,5.61,https://dictionary.cambridge.org/dictionary/learner-english/set_1
take-off,noun,5.61,https://dictionary.cambridge.org/dictionary/learner-english/take-off_2
team,noun,5.61,https://dictionary.cambridge.org/dictionary/learner-english/team
until,"preposition, conjunction",5.61,https://dictionary.cambridge.org/dictionary/learner-english/until
away,adjective,5.6,https://dictionary.cambridge.org/dictionary/learner-english/away_2
away,adverb,5.6,https://dictionary.cambridge.org/dictionary/learner-english/away_1
case,noun,5.6,https://dictionary.cambridge.org/dictionary/learner-english/case
different,adjective,5.6,https://dictionary.cambridge.org/dictionary/learner-english/different
group,noun,5.6,https://dictionary.cambridge.org/dictionary/learner-english/group_1
group,verb,5.6,https://dictionary.cambridge.org/dictionary/learner-english/group_2
money,noun,5.6,https://dictionary.cambridge.org/dictionary/learner-english/money
let,verb,5.59,https://dictionary.cambridge.org/dictionary/learner-english/let
new-found,adjective,5.59,https://dictionary.cambridge.org/dictionary/learner-english/new-found
thought,noun,5.59,https://dictionary.cambridge.org/dictionary/learner-english/thought_1
already,adverb,5.58,https://dictionary.cambridge.org/dictionary/learner-english/already
city,noun,5.58,https://dictionary.cambridge.org/dictionary/learner-english/city
man-made,adjective,5.58,https://dictionary.cambridge.org/dictionary/learner-english/man-made
Mr,noun,5.58,https://dictionary.cambridge.org/dictionary/learner-english/mr
play,noun,5.58,https://dictionary.cambridge.org/dictionary/learner-english/play_2
play,verb,5.58,https://dictionary.cambridge.org/dictionary/learner-english/play_1
public,adjective,5.58,https://dictionary.cambridge.org/dictionary/learner-english/public_1
public,noun,5.58,https://dictionary.cambridge.org/dictionary/learner-english/public_2
such-and-such,determiner,5.58,https://dictionary.cambridge.org/dictionary/learner-english/such-and-such
system,noun,5.58,https://dictionary.cambridge.org/dictionary/learner-english/system
all-night,adjective,5.57,https://dictionary.cambridge.org/dictionary/learner-english/all-night
doing,noun,5.57,https://dictionary.cambridge.org/dictionary/learner-english/doing
done,adjective,5.57,https://dictionary.cambridge.org/dictionary/learner-english/done_1
national,adjective,5.57,https://dictionary.cambridge.org/dictionary/learner-english/national_1
national,noun,5.57,https://dictionary.cambridge.org/dictionary/learner-english/national_2
real,adjective,5.57,https://dictionary.cambridge.org/dictionary/learner-english/real_1
real,adverb,5.57,https://dictionary.cambridge.org/dictionary/learner-english/real_2
free,adjective,5.56,https://dictionary.cambridge.org/dictionary/learner-english/free_1
free,adverb,5.56,https://dictionary.cambridge.org/dictionary/learner-english/free_2
free,verb,5.56,https://dictionary.cambridge.org/dictionary/learner-english/free_3
person,noun,5.56,https://dictionary.cambridge.org/dictionary/learner-english/person
change,noun,5.55,https://dictionary.cambridge.org/dictionary/learner-english/change_2
change,verb,5.55,https://dictionary.cambridge.org/dictionary/learner-english/change_1
general,adjective,5.55,https://dictionary.cambridge.org/dictionary/learner-english/general_1
general,noun,5.55,https://dictionary.cambridge.org/dictionary/learner-english/general_2
long-life,adjective,5.55,https://dictionary.cambridge.org/dictionary/learner-english/long-life
lot,noun,5.55,https://dictionary.cambridge.org/dictionary/learner-english/lot
point,noun,5.55,https://dictionary.cambridge.org/dictionary/learner-english/point_1
point,verb,5.55,https://dictionary.cambridge.org/dictionary/learner-english/point_2
so-called,adjective,5.55,https://dictionary.cambridge.org/dictionary/learner-english/so-called
times,preposition,5.55,https://dictionary.cambridge.org/dictionary/learner-english/times
yet,adverb,5.55,https://dictionary.cambridge.org/dictionary/learner-english/yet_1
yet,conjunction,5.55,https://dictionary.cambridge.org/dictionary/learner-english/yet_2
care,noun,5.54,https://dictionary.cambridge.org/dictionary/learner-english/care_2
care,verb,5.54,https://dictionary.cambridge.org/dictionary/learner-english/care_1
including,preposition,5.54,https://dictionary.cambridge.org/dictionary/learner-english/including
set-up,noun,5.54,https://dictionary.cambridge.org/dictionary/learner-english/set-up
today,"noun, adverb",5.54,https://dictionary.cambridge.org/dictionary/learner-english/today
water,noun,5.54,https://dictionary.cambridge.org/dictionary/learner-english/water_1
water,verb,5.54,https://dictionary.cambridge.org/dictionary/learner-english/water_2
bad,adjective,5.53,https://dictionary.cambridge.org/dictionary/learner-english/bad
business,noun,5.53,https://dictionary.cambridge.org/dictionary/learner-english/business
company,noun,5.53,https://dictionary.cambridge.org/dictionary/learner-english/company
live,adjective,5.53,https://dictionary.cambridge.org/dictionary/learner-english/live_2
