word,pos,zipf,URL
accommodate,verb,4.01,https://dictionary.cambridge.org/dictionary/learner-english/accommodate
accommodating,adjective,3.25,https://dictionary.cambridge.org/dictionary/learner-english/accommodating
accommodation,noun,4.03,https://dictionary.cambridge.org/dictionary/learner-english/accommodation
accompaniment,noun,3.3,https://dictionary.cambridge.org/dictionary/learner-english/accompaniment
accompany,verb,3.88,https://dictionary.cambridge.org/dictionary/learner-english/accompany
accomplice,noun,3.2,https://dictionary.cambridge.org/dictionary/learner-english/accomplice
accomplish,verb,4.03,https://dictionary.cambridge.org/dictionary/learner-english/accomplish
accomplished,adjective,4.18,https://dictionary.cambridge.org/dictionary/learner-english/accomplished
accomplishment,noun,3.63,https://dictionary.cambridge.org/dictionary/learner-english/accomplishment
accord,noun,3.94,https://dictionary.cambridge.org/dictionary/learner-english/accord_1
accord,verb,3.94,https://dictionary.cambridge.org/dictionary/learner-english/accord_2
accordance,noun,4.11,https://dictionary.cambridge.org/dictionary/learner-english/accordance
according to,preposition,5.34,https://dictionary.cambridge.org/dictionary/learner-english/according-to
accordingly,adverb,4.18,https://dictionary.cambridge.org/dictionary/learner-english/accordingly
accordion,noun,3.05,https://dictionary.cambridge.org/dictionary/learner-english/accordion
accost,verb,1.89,https://dictionary.cambridge.org/dictionary/learner-english/accost
account,noun,5.22,https://dictionary.cambridge.org/dictionary/learner-english/account
accountable,adjective,3.83,https://dictionary.cambridge.org/dictionary/learner-english/accountable
accountancy,noun,2.95,https://dictionary.cambridge.org/dictionary/learner-english/accountancy
accountant,noun,3.66,https://dictionary.cambridge.org/dictionary/learner-english/accountant
accounting,noun,4.27,https://dictionary.cambridge.org/dictionary/learner-english/accounting
accounts,noun,4.73,https://dictionary.cambridge.org/dictionary/learner-english/accounts
accreditation,noun,3.59,https://dictionary.cambridge.org/dictionary/learner-english/accreditation
accumulate,verb,3.52,https://dictionary.cambridge.org/dictionary/learner-english/accumulate
accuracy,noun,4.23,https://dictionary.cambridge.org/dictionary/learner-english/accuracy
accurate,adjective,4.55,https://dictionary.cambridge.org/dictionary/learner-english/accurate
accusation,noun,3.63,https://dictionary.cambridge.org/dictionary/learner-english/accusation
accuse,verb,3.68,https://dictionary.cambridge.org/dictionary/learner-english/accuse
accusing,adjective,3.69,https://dictionary.cambridge.org/dictionary/learner-english/accusing
accustomed,adjective,3.64,https://dictionary.cambridge.org/dictionary/learner-english/accustomed
ace,adjective,4.05,https://dictionary.cambridge.org/dictionary/learner-english/ace_2
ace,noun,4.05,https://dictionary.cambridge.org/dictionary/learner-english/ace_1
ache,noun,3.37,https://dictionary.cambridge.org/dictionary/learner-english/ache_1
ache,verb,3.37,https://dictionary.cambridge.org/dictionary/learner-english/ache_2
achieve,verb,4.58,https://dictionary.cambridge.org/dictionary/learner-english/achieve
achievement,noun,4.44,https://dictionary.cambridge.org/dictionary/learner-english/achievement
acid,adjective,4.43,https://dictionary.cambridge.org/dictionary/learner-english/acid_2
acid,noun,4.43,https://dictionary.cambridge.org/dictionary/learner-english/acid_1
acid rain,noun,4.25,https://dictionary.cambridge.org/dictionary/learner-english/acid-rain
acknowledge,verb,4.15,https://dictionary.cambridge.org/dictionary/learner-english/acknowledge
acknowledgement,noun,3.28,https://dictionary.cambridge.org/dictionary/learner-english/acknowledgement
acne,noun,3.49,https://dictionary.cambridge.org/dictionary/learner-english/acne
acorn,noun,3.03,https://dictionary.cambridge.org/dictionary/learner-english/acorn
acoustic,adjective,3.94,https://dictionary.cambridge.org/dictionary/learner-english/acoustic
acoustics,noun,3.04,https://dictionary.cambridge.org/dictionary/learner-english/acoustics
acquaintance,noun,3.55,https://dictionary.cambridge.org/dictionary/learner-english/acquaintance
acquainted,adjective,3.54,https://dictionary.cambridge.org/dictionary/learner-english/acquainted
acquiesce,verb,2.43,https://dictionary.cambridge.org/dictionary/learner-english/acquiesce
acquire,verb,4.13,https://dictionary.cambridge.org/dictionary/learner-english/acquire
acquisition,noun,4.26,https://dictionary.cambridge.org/dictionary/learner-english/acquisition
acquit,verb,2.58,https://dictionary.cambridge.org/dictionary/learner-english/acquit
acquittal,noun,3.09,https://dictionary.cambridge.org/dictionary/learner-english/acquittal
acre,noun,3.81,https://dictionary.cambridge.org/dictionary/learner-english/acre
acrid,adjective,2.37,https://dictionary.cambridge.org/dictionary/learner-english/acrid
acrimonious,adjective,2.6,https://dictionary.cambridge.org/dictionary/learner-english/acrimonious
acrobat,noun,2.8,https://dictionary.cambridge.org/dictionary/learner-english/acrobat
acronym,noun,3.37,https://dictionary.cambridge.org/dictionary/learner-english/acronym
across,"adverb, preposition",5.24,https://dictionary.cambridge.org/dictionary/learner-english/across
acrylic,noun,3.37,https://dictionary.cambridge.org/dictionary/learner-english/acrylic
act,noun,5.37,https://dictionary.cambridge.org/dictionary/learner-english/act_2
act,verb,5.37,https://dictionary.cambridge.org/dictionary/learner-english/act_1
acting,adjective,4.77,https://dictionary.cambridge.org/dictionary/learner-english/acting_1
acting,noun,4.77,https://dictionary.cambridge.org/dictionary/learner-english/acting_2
action movie,noun,4.9,https://dictionary.cambridge.org/dictionary/learner-english/action-movie
action,noun,5.32,https://dictionary.cambridge.org/dictionary/learner-english/action
action replay,noun,3.79,https://dictionary.cambridge.org/dictionary/learner-english/action-replay
action-packed,adjective,4.17,https://dictionary.cambridge.org/dictionary/learner-english/action-packed
activate,verb,3.78,https://dictionary.cambridge.org/dictionary/learner-english/activate
active,adjective,4.94,https://dictionary.cambridge.org/dictionary/learner-english/active
actively,adverb,4.25,https://dictionary.cambridge.org/dictionary/learner-english/actively
activist,noun,4.04,https://dictionary.cambridge.org/dictionary/learner-english/activist
activity,noun,4.91,https://dictionary.cambridge.org/dictionary/learner-english/activity
actor,noun,4.58,https://dictionary.cambridge.org/dictionary/learner-english/actor
actress,noun,4.36,https://dictionary.cambridge.org/dictionary/learner-english/actress
actual,adjective,4.84,https://dictionary.cambridge.org/dictionary/learner-english/actual
actually,adverb,5.44,https://dictionary.cambridge.org/dictionary/learner-english/actually
acumen,noun,2.85,https://dictionary.cambridge.org/dictionary/learner-english/acumen
acupuncture,noun,3.13,https://dictionary.cambridge.org/dictionary/learner-english/acupuncture
acute,adjective,4.05,https://dictionary.cambridge.org/dictionary/learner-english/acute
acutely,adverb,3.13,https://dictionary.cambridge.org/dictionary/learner-english/acutely
ad hoc,adjective,3.55,https://dictionary.cambridge.org/dictionary/learner-english/ad-hoc
ad lib,verb,3.66,https://dictionary.cambridge.org/dictionary/learner-english/ad-lib
ad,noun,4.72,https://dictionary.cambridge.org/dictionary/learner-english/ad_1
Adam,noun,4.57,https://dictionary.cambridge.org/dictionary/learner-english/adam
Adam's apple,noun,3.17,https://dictionary.cambridge.org/dictionary/learner-english/adam-s-apple
adamant,adjective,3.45,https://dictionary.cambridge.org/dictionary/learner-english/adamant
adapt,verb,3.98,https://dictionary.cambridge.org/dictionary/learner-english/adapt
adaptable,adjective,3.11,https://dictionary.cambridge.org/dictionary/learner-english/adaptable
adaptation,noun,4.12,https://dictionary.cambridge.org/dictionary/learner-english/adaptation
adapter,noun,3.62,https://dictionary.cambridge.org/dictionary/learner-english/adapter
add,verb,5.07,https://dictionary.cambridge.org/dictionary/learner-english/add
add-on,noun,5.06,https://dictionary.cambridge.org/dictionary/learner-english/add-on
adder,noun,2.73,https://dictionary.cambridge.org/dictionary/learner-english/adder
addict,noun,3.65,https://dictionary.cambridge.org/dictionary/learner-english/addict
addicted,adjective,3.8,https://dictionary.cambridge.org/dictionary/learner-english/addicted
addiction,noun,4.09,https://dictionary.cambridge.org/dictionary/learner-english/addiction
addictive,adjective,3.56,https://dictionary.cambridge.org/dictionary/learner-english/addictive
addition,noun,4.99,https://dictionary.cambridge.org/dictionary/learner-english/addition
additional,adjective,4.92,https://dictionary.cambridge.org/dictionary/learner-english/additional
additive,noun,3.33,https://dictionary.cambridge.org/dictionary/learner-english/additive
address book,noun,4.77,https://dictionary.cambridge.org/dictionary/learner-english/address-book
address,noun,4.89,https://dictionary.cambridge.org/dictionary/learner-english/address_1
address,verb,4.89,https://dictionary.cambridge.org/dictionary/learner-english/address_2
adept,adjective,3.31,https://dictionary.cambridge.org/dictionary/learner-english/adept
adequate,adjective,4.25,https://dictionary.cambridge.org/dictionary/learner-english/adequate
adhere,verb,3.59,https://dictionary.cambridge.org/dictionary/learner-english/adhere
adherence,noun,3.46,https://dictionary.cambridge.org/dictionary/learner-english/adherence
adhesive,noun,3.35,https://dictionary.cambridge.org/dictionary/learner-english/adhesive
adjacent,adjective,4.09,https://dictionary.cambridge.org/dictionary/learner-english/adjacent
adjective,noun,3.3,https://dictionary.cambridge.org/dictionary/learner-english/adjective
adjoining,adjective,3.51,https://dictionary.cambridge.org/dictionary/learner-english/adjoining
adjourn,verb,2.74,https://dictionary.cambridge.org/dictionary/learner-english/adjourn
adjudicate,verb,2.58,https://dictionary.cambridge.org/dictionary/learner-english/adjudicate
adjust,verb,4.09,https://dictionary.cambridge.org/dictionary/learner-english/adjust
adjustable,adjective,3.52,https://dictionary.cambridge.org/dictionary/learner-english/adjustable
adjustment,noun,4.03,https://dictionary.cambridge.org/dictionary/learner-english/adjustment
admin,noun,3.64,https://dictionary.cambridge.org/dictionary/learner-english/admin
administer,verb,3.62,https://dictionary.cambridge.org/dictionary/learner-english/administer
administration,noun,4.93,https://dictionary.cambridge.org/dictionary/learner-english/administration
administrative,adjective,4.55,https://dictionary.cambridge.org/dictionary/learner-english/administrative
administrative assistant,noun,4.27,https://dictionary.cambridge.org/dictionary/learner-english/administrative-assistant
administrator,noun,4.04,https://dictionary.cambridge.org/dictionary/learner-english/administrator
admirable,adjective,3.44,https://dictionary.cambridge.org/dictionary/learner-english/admirable
admiral,noun,3.99,https://dictionary.cambridge.org/dictionary/learner-english/admiral
admiration,noun,3.59,https://dictionary.cambridge.org/dictionary/learner-english/admiration
admire,verb,4.0,https://dictionary.cambridge.org/dictionary/learner-english/admire
admissible,adjective,3.16,https://dictionary.cambridge.org/dictionary/learner-english/admissible
admission,noun,4.11,https://dictionary.cambridge.org/dictionary/learner-english/admission
admissions,noun,3.68,https://dictionary.cambridge.org/dictionary/learner-english/admissions
admit,verb,4.57,https://dictionary.cambridge.org/dictionary/learner-english/admit
admittance,noun,2.78,https://dictionary.cambridge.org/dictionary/learner-english/admittance
admittedly,adverb,3.48,https://dictionary.cambridge.org/dictionary/learner-english/admittedly
admonish,verb,2.35,https://dictionary.cambridge.org/dictionary/learner-english/admonish
ado,noun,3.11,https://dictionary.cambridge.org/dictionary/learner-english/ado
adolescence,noun,3.37,https://dictionary.cambridge.org/dictionary/learner-english/adolescence
adolescent,noun,3.58,https://dictionary.cambridge.org/dictionary/learner-english/adolescent
adopt,verb,4.21,https://dictionary.cambridge.org/dictionary/learner-english/adopt
adorable,adjective,3.96,https://dictionary.cambridge.org/dictionary/learner-english/adorable
adore,verb,3.58,https://dictionary.cambridge.org/dictionary/learner-english/adore
adorn,verb,2.95,https://dictionary.cambridge.org/dictionary/learner-english/adorn
adrenalin,noun,2.76,https://dictionary.cambridge.org/dictionary/learner-english/adrenalin
adrift,adjective,3.03,https://dictionary.cambridge.org/dictionary/learner-english/adrift
adulation,noun,2.57,https://dictionary.cambridge.org/dictionary/learner-english/adulation
adult,adjective,4.76,https://dictionary.cambridge.org/dictionary/learner-english/adult_2
adult,noun,4.76,https://dictionary.cambridge.org/dictionary/learner-english/adult_1
adultery,noun,3.45,https://dictionary.cambridge.org/dictionary/learner-english/adultery
adulthood,noun,3.57,https://dictionary.cambridge.org/dictionary/learner-english/adulthood
advance,adjective,4.65,https://dictionary.cambridge.org/dictionary/learner-english/advance_3
advance,noun,4.65,https://dictionary.cambridge.org/dictionary/learner-english/advance_1
advance,verb,4.65,https://dictionary.cambridge.org/dictionary/learner-english/advance_2
advanced,adjective,4.71,https://dictionary.cambridge.org/dictionary/learner-english/advanced
advancement,noun,3.84,https://dictionary.cambridge.org/dictionary/learner-english/advancement
advances,noun,4.09,https://dictionary.cambridge.org/dictionary/learner-english/advances
advantage,noun,4.79,https://dictionary.cambridge.org/dictionary/learner-english/advantage
advantageous,adjective,3.37,https://dictionary.cambridge.org/dictionary/learner-english/advantageous
advent,noun,3.68,https://dictionary.cambridge.org/dictionary/learner-english/advent
adventure,noun,4.39,https://dictionary.cambridge.org/dictionary/learner-english/adventure
adventurous,adjective,3.46,https://dictionary.cambridge.org/dictionary/learner-english/adventurous
adverb,noun,2.48,https://dictionary.cambridge.org/dictionary/learner-english/adverb
adversary,noun,3.3,https://dictionary.cambridge.org/dictionary/learner-english/adversary
adverse,adjective,3.94,https://dictionary.cambridge.org/dictionary/learner-english/adverse
adversity,noun,3.33,https://dictionary.cambridge.org/dictionary/learner-english/adversity
advert,noun,3.41,https://dictionary.cambridge.org/dictionary/learner-english/advert
advertise,verb,3.57,https://dictionary.cambridge.org/dictionary/learner-english/advertise
advertisement,noun,3.8,https://dictionary.cambridge.org/dictionary/learner-english/advertisement
advertising,noun,4.51,https://dictionary.cambridge.org/dictionary/learner-english/advertising
advice,noun,4.88,https://dictionary.cambridge.org/dictionary/learner-english/advice
advisable,adjective,3.34,https://dictionary.cambridge.org/dictionary/learner-english/advisable
advise,verb,4.06,https://dictionary.cambridge.org/dictionary/learner-english/advise
adviser,noun,3.81,https://dictionary.cambridge.org/dictionary/learner-english/adviser
advisory,adjective,4.13,https://dictionary.cambridge.org/dictionary/learner-english/advisory_1
advisory,noun,4.13,https://dictionary.cambridge.org/dictionary/learner-english/advisory_2
advocate,noun,4.18,https://dictionary.cambridge.org/dictionary/learner-english/advocate_2
advocate,verb,4.18,https://dictionary.cambridge.org/dictionary/learner-english/advocate_1
aerial,adjective,3.89,https://dictionary.cambridge.org/dictionary/learner-english/aerial_2
aerial,noun,3.89,https://dictionary.cambridge.org/dictionary/learner-english/aerial_1
aerobic,adjective,3.14,https://dictionary.cambridge.org/dictionary/learner-english/aerobic
aerobics,noun,2.75,https://dictionary.cambridge.org/dictionary/learner-english/aerobics
aerodynamic,adjective,3.16,https://dictionary.cambridge.org/dictionary/learner-english/aerodynamic
aeroplane,noun,3.27,https://dictionary.cambridge.org/dictionary/learner-english/aeroplane
aerosol,noun,3.05,https://dictionary.cambridge.org/dictionary/learner-english/aerosol
aerospace,noun,3.68,https://dictionary.cambridge.org/dictionary/learner-english/aerospace
aesthetic,adjective,3.93,https://dictionary.cambridge.org/dictionary/learner-english/aesthetic
aesthetics,noun,3.57,https://dictionary.cambridge.org/dictionary/learner-english/aesthetics
afar,adverb,3.36,https://dictionary.cambridge.org/dictionary/learner-english/afar
affable,adjective,2.65,https://dictionary.cambridge.org/dictionary/learner-english/affable
affair,noun,4.31,https://dictionary.cambridge.org/dictionary/learner-english/affair
affairs,noun,4.76,https://dictionary.cambridge.org/dictionary/learner-english/affairs
affect,verb,4.6,https://dictionary.cambridge.org/dictionary/learner-english/affect
affectation,noun,2.27,https://dictionary.cambridge.org/dictionary/learner-english/affectation
affected,adjective,4.69,https://dictionary.cambridge.org/dictionary/learner-english/affected
affection,noun,3.86,https://dictionary.cambridge.org/dictionary/learner-english/affection
affectionate,adjective,3.27,https://dictionary.cambridge.org/dictionary/learner-english/affectionate
affiliate,verb,3.96,https://dictionary.cambridge.org/dictionary/learner-english/affiliate
affinity,noun,3.51,https://dictionary.cambridge.org/dictionary/learner-english/affinity
affirm,verb,3.3,https://dictionary.cambridge.org/dictionary/learner-english/affirm
affirmative action,noun,3.55,https://dictionary.cambridge.org/dictionary/learner-english/affirmative-action
affirmative,adjective,3.56,https://dictionary.cambridge.org/dictionary/learner-english/affirmative
affix,noun,2.7,https://dictionary.cambridge.org/dictionary/learner-english/affix
afflict,verb,2.59,https://dictionary.cambridge.org/dictionary/learner-english/afflict
affluent,adjective,3.41,https://dictionary.cambridge.org/dictionary/learner-english/affluent
afford,verb,4.53,https://dictionary.cambridge.org/dictionary/learner-english/afford
affordable,adjective,4.07,https://dictionary.cambridge.org/dictionary/learner-english/affordable
affront,noun,2.93,https://dictionary.cambridge.org/dictionary/learner-english/affront
Afghanistan,noun,4.31,https://dictionary.cambridge.org/dictionary/learner-english/afghanistan
afield,adverb,2.96,https://dictionary.cambridge.org/dictionary/learner-english/afield
afloat,adjective,3.28,https://dictionary.cambridge.org/dictionary/learner-english/afloat
afoot,adjective,2.86,https://dictionary.cambridge.org/dictionary/learner-english/afoot
afraid,adjective,4.72,https://dictionary.cambridge.org/dictionary/learner-english/afraid
afresh,adverb,2.73,https://dictionary.cambridge.org/dictionary/learner-english/afresh
Africa,noun,5.02,https://dictionary.cambridge.org/dictionary/learner-english/africa
African,adjective,4.89,https://dictionary.cambridge.org/dictionary/learner-english/african
African-American,adjective,4.78,https://dictionary.cambridge.org/dictionary/learner-english/african-american
Afro-Caribbean,adjective,3.39,https://dictionary.cambridge.org/dictionary/learner-english/afro-caribbean
after,adverb,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_3
after,conjunction,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_2
after,preposition,6.08,https://dictionary.cambridge.org/dictionary/learner-english/after_1
aftermath,noun,3.87,https://dictionary.cambridge.org/dictionary/learner-english/aftermath
afternoon,noun,4.71,https://dictionary.cambridge.org/dictionary/learner-english/afternoon
aftershave,noun,2.56,https://dictionary.cambridge.org/dictionary/learner-english/aftershave
aftertaste,noun,2.67,https://dictionary.cambridge.org/dictionary/learner-english/aftertaste
afterthought,noun,2.81,https://dictionary.cambridge.org/dictionary/learner-english/afterthought
afterwards,adverb,4.42,https://dictionary.cambridge.org/dictionary/learner-english/afterwards
again,adverb,5.7,https://dictionary.cambridge.org/dictionary/learner-english/again
against,preposition,5.7,https://dictionary.cambridge.org/dictionary/learner-english/against
age group,noun,5.14,https://dictionary.cambridge.org/dictionary/learner-english/age-group
age limit,noun,4.63,https://dictionary.cambridge.org/dictionary/learner-english/age-limit
age,noun,5.33,https://dictionary.cambridge.org/dictionary/learner-english/age_1
age,verb,5.33,https://dictionary.cambridge.org/dictionary/learner-english/age_2
ageing,adjective,3.47,https://dictionary.cambridge.org/dictionary/learner-english/ageing_1
ageing,noun,3.47,https://dictionary.cambridge.org/dictionary/learner-english/ageing_2
agency,noun,4.89,https://dictionary.cambridge.org/dictionary/learner-english/agency
agenda,noun,4.29,https://dictionary.cambridge.org/dictionary/learner-english/agenda
agent,noun,4.75,https://dictionary.cambridge.org/dictionary/learner-english/agent
ages,noun,4.54,https://dictionary.cambridge.org/dictionary/learner-english/ages
aggravate,verb,2.88,https://dictionary.cambridge.org/dictionary/learner-english/aggravate
aggregate,noun,3.95,https://dictionary.cambridge.org/dictionary/learner-english/aggregate
aggression,noun,3.98,https://dictionary.cambridge.org/dictionary/learner-english/aggression
aggressive,adjective,4.3,https://dictionary.cambridge.org/dictionary/learner-english/aggressive
aggressor,noun,3.06,https://dictionary.cambridge.org/dictionary/learner-english/aggressor
aggrieved,adjective,2.91,https://dictionary.cambridge.org/dictionary/learner-english/aggrieved
aghast,adjective,2.58,https://dictionary.cambridge.org/dictionary/learner-english/aghast
agile,adjective,3.36,https://dictionary.cambridge.org/dictionary/learner-english/agile
aging,"noun, adjective",4.03,https://dictionary.cambridge.org/dictionary/learner-english/aging
agitate,verb,2.6,https://dictionary.cambridge.org/dictionary/learner-english/agitate
agitated,adjective,3.31,https://dictionary.cambridge.org/dictionary/learner-english/agitated
AGM,noun,3.04,https://dictionary.cambridge.org/dictionary/learner-english/agm
agnostic,noun,2.99,https://dictionary.cambridge.org/dictionary/learner-english/agnostic
ago,adverb,5.37,https://dictionary.cambridge.org/dictionary/learner-english/ago
agonize,verb,2.05,https://dictionary.cambridge.org/dictionary/learner-english/agonize
agonizing,adjective,2.9,https://dictionary.cambridge.org/dictionary/learner-english/agonizing
agony aunt,noun,3.48,https://dictionary.cambridge.org/dictionary/learner-english/agony-aunt
agony,noun,3.57,https://dictionary.cambridge.org/dictionary/learner-english/agony
agree,verb,4.9,https://dictionary.cambridge.org/dictionary/learner-english/agree
agreeable,adjective,3.2,https://dictionary.cambridge.org/dictionary/learner-english/agreeable
